Date,Value,Close,log,forecast
1988-08-25,4.35,4.35,-0.002296212260350379,
1988-08-26,4.34,4.34,-0.002301496988279163,
1988-08-29,4.33,4.33,-0.002306806097914948,
1988-08-31,4.28,4.28,-0.011614532420693002,
1988-09-01,4.19,4.19,-0.021252275659658978,
1988-09-02,4.2,4.2,0.0023837913552761975,
1988-09-05,4.16,4.16,-0.009569451016150672,
1988-09-06,4.23,4.23,0.016686918785014736,
1988-09-07,4.23,4.23,0.0,
1988-09-08,4.33,4.33,0.023365548956211693,
1988-09-09,4.64,4.64,0.0691468242237654,
1988-09-12,5.03,5.03,0.08070561787348415,
1988-09-13,5.01,5.01,-0.003984069014874459,
1988-09-14,4.71,4.71,-0.061748007068446964,
1988-09-15,4.84,4.84,0.027226812700213952,
1988-09-16,4.73,4.73,-0.022989518224698604,
1988-09-19,4.55,4.55,-0.038797969540982656,
1988-09-20,4.59,4.59,0.008752791109594708,
1988-09-21,4.64,4.64,0.010834342165710146,
1988-09-22,4.6,4.6,-0.008658062743114541,
1988-09-23,4.63,4.63,0.006500564603093463,
1988-09-26,4.66,4.66,0.006458580039411949,
1988-09-27,4.59,4.59,-0.015135424065100803,
1988-09-28,4.53,4.53,-0.013158084577511088,
1988-09-29,4.51,4.51,-0.004424785980355807,
1988-09-30,4.55,4.55,0.008830079448271995,
1988-10-03,4.54,4.54,-0.0022002209096024235,
1988-10-04,4.56,4.56,0.004395611473037908,
1988-10-05,4.5,4.5,-0.013245226750020567,
1988-10-06,4.49,4.49,-0.0022246950221110513,
1988-10-07,4.47,4.47,-0.004464293128685604,
1988-10-10,4.46,4.46,-0.002239642593504687,
1988-10-11,4.35,4.35,-0.02497292093138005,
1988-10-12,4.05,4.05,-0.07145896398214487,
1988-10-13,4.02,4.02,-0.00743497848751809,
1988-10-14,3.9,3.9,-0.030305349495328808,
1988-10-17,3.62,3.62,-0.07450252729792102,
1988-10-18,3.63,3.63,0.0027586224390796607,
1988-10-19,3.74,3.74,0.029852963149681343,
1988-10-20,3.8,3.8,0.015915455305899363,
1988-10-21,3.8,3.8,0.0,
1988-10-24,3.85,3.85,0.013072081567352921,
1988-10-25,3.99,3.99,0.035718082602079246,
1988-10-26,4.09,4.09,0.02475373915293818,
1988-10-27,3.99,3.99,-0.024753739152938176,
1988-10-28,3.97,3.97,-0.005025136202673043,
1988-10-31,4.04,4.04,0.017478597273959545,
1988-11-01,4.09,4.09,0.012300278081651687,
1988-11-02,4.1,4.1,0.0024420036555515873,
1988-11-03,4.14,4.14,0.009708814126960903,
1988-11-04,4.13,4.13,-0.002418380864281527,
1988-11-07,4.21,4.21,0.019185240721348643,
1988-11-08,4.29,4.29,0.018824085245635617,
1988-11-09,4.27,4.27,-0.004672905699392482,
1988-11-10,4.31,4.31,0.009324076875123244,
1988-11-11,4.26,4.26,-0.011668743834377378,
1988-11-14,4.2,4.2,-0.0141846349919563,
1988-11-15,4.09,4.09,-0.026539555234612378,
1988-11-16,4.1,4.1,0.0024420036555515873,
1988-11-17,4.1,4.1,0.0,
1988-11-18,4.04,4.04,-0.014742281737203319,
1988-11-21,3.98,3.98,-0.014962872676712377,
1988-11-22,3.93,3.93,-0.012642393415176468,
1988-11-23,3.9,3.9,-0.007662872745569137,
1988-11-24,3.99,3.99,0.022814677766171482,
1988-11-25,4.02,4.02,0.007490671729157438,
1988-11-28,4.02,4.02,0.0,
1988-11-29,4.07,4.07,0.012361096823574147,
1988-11-30,4.06,4.06,-0.002460025840862534,
1988-12-01,3.96,3.96,-0.024938948347252066,
1988-12-02,4.0,4.0,0.010050335853501506,
1988-12-05,3.97,3.97,-0.0075282664207915245,
1988-12-06,3.91,3.91,-0.01522872070182467,
1988-12-07,3.85,3.85,-0.01546422569758159,
1988-12-08,3.78,3.78,-0.018349138668196655,
1988-12-09,3.68,3.68,-0.0268112574506567,
1988-12-12,3.76,3.76,0.021506205220963463,
1988-12-13,3.76,3.76,0.0,
1988-12-14,3.79,3.79,0.00794706169253194,
1988-12-15,3.76,3.76,-0.007947061692531945,
1988-12-16,3.78,3.78,0.005305052229693098,
1988-12-19,3.76,3.76,-0.005305052229693229,
1988-12-20,3.73,3.73,-0.008010723746078972,
1988-12-21,3.76,3.76,0.008010723746078979,
1988-12-22,3.79,3.79,0.00794706169253194,
